month,region,revenue_k,orders,ad_spend_k
Jan,North,41.3,472,6.3
Feb,North,43.9,553,5.7
Mar,North,47.2,591,4.9
Apr,North,51.6,578,5.5
May,North,54.2,730,6.0
Jun,North,55.7,717,9.8
Jul,North,59.1,720,10.5
Aug,North,58.6,795,7.2
Sep,North,60.3,684,7.5
Oct,North,64.0,738,9.4
Nov,North,63.9,774,9.2
Dec,North,61.9,691,7.2
Jan,South,30.7,377,3.8
Feb,South,34.2,422,4.2
Mar,South,38.6,505,4.6
Apr,South,41.1,516,7.0
May,South,44.9,532,8.0
Jun,South,45.4,556,7.3
Jul,South,48.2,600,5.0
Aug,South,52.8,701,7.7
Sep,South,55.9,667,8.7
Oct,South,56.8,723,7.8
Nov,South,59.6,824,8.2
Dec,South,60.5,676,9.4
Jan,East,25.6,357,4.2
Feb,East,26.8,325,4.1
Mar,East,28.1,348,3.2
Apr,East,30.5,340,4.9
May,East,32.4,380,4.3
Jun,East,36.8,413,5.0
Jul,East,36.8,502,6.1
Aug,East,39.0,461,5.2
Sep,East,37.7,514,6.7
Oct,East,37.3,430,4.4
Nov,East,37.7,469,5.5
Dec,East,37.7,415,5.0
Jan,West,17.5,222,3.1
Feb,West,22.7,284,3.4
Mar,West,26.4,294,4.5
Apr,West,30.4,414,5.0
May,West,32.2,392,3.5
Jun,West,36.5,408,3.8
Jul,West,37.8,434,4.8
Aug,West,40.1,441,4.5
Sep,West,43.1,521,4.4
Oct,West,48.7,625,5.4
Nov,West,48.7,586,6.3
Dec,West,50.4,682,9.0
