channel,spend_k,signups
Paid search,3.5,15
Paid search,3.7,21
Paid search,4.0,30
Paid search,4.9,30
Paid search,6.3,48
Paid search,9.0,57
Paid search,9.8,64
Paid search,9.8,76
Paid search,10.6,73
Paid search,11.3,69
Paid search,12.5,80
Paid search,12.6,86
Paid search,15.2,114
Paid search,16.4,105
Social,2.5,16
Social,3.6,12
Social,5.7,15
Social,5.9,25
Social,7.4,31
Social,8.7,48
Social,13.3,62
Social,13.8,60
Social,13.9,67
Social,14.7,60
Social,15.0,56
Social,15.4,69
Social,16.9,76
Social,18.8,77
Email,5.0,55
Email,5.2,30
Email,5.5,46
Email,5.7,54
Email,9.2,78
Email,12.1,122
Email,12.2,100
Email,13.0,120
Email,15.4,131
Email,15.5,151
Email,17.3,156
Email,18.6,164
